,date,name,pos_percentage,voters_count,url
853,2019-09-17,Void Bastards - Bang Tydy,78.0,28.0,https://store.steampowered.com/app/1091680/Void_Bastards__Bang_Tydy/?snr=1_7_7_240_150_60
854,2019-09-17,Devil's Deck,74.0,158.0,https://store.steampowered.com/app/1093320/Devils_Deck/?snr=1_7_7_240_150_60
855,2019-09-17,LOGistICAL 2: Indonesia - Bundle,,,https://store.steampowered.com/app/1140552/LOGistICAL_2_Indonesia__Bundle/?snr=1_7_7_240_150_60
856,2019-09-17,ZomB,,,https://store.steampowered.com/app/1098980/ZomB/?snr=1_7_7_240_150_60
857,2019-09-17,Super Jigsaw Puzzle: Generations - Autumn Puzzles,,,https://store.steampowered.com/app/1080031/Super_Jigsaw_Puzzle_Generations__Autumn_Puzzles/?snr=1_7_7_240_150_60
858,2019-09-17,Aspects of change,,,https://store.steampowered.com/app/1136470/Aspects_of_change/?snr=1_7_7_240_150_60
859,2019-09-17,Fantasy Grounds - Pathfinder 2 RPG - Age of Ashes AP 3: Tomorrow Must Burn (PFRPG2),,,https://store.steampowered.com/app/1158560/Fantasy_Grounds__Pathfinder_2_RPG__Age_of_Ashes_AP_3_Tomorrow_Must_Burn_PFRPG2/?snr=1_7_7_240_150_60
860,2019-09-18,Craft The World - Temples of 4 Elements,62.0,43.0,https://store.steampowered.com/app/1157170/Craft_The_World__Temples_of_4_Elements/?snr=1_7_7_240_150_60
861,2019-09-18,7776 II: Dwarven Greed,78.0,46.0,https://store.steampowered.com/app/1019340/7776_II_Dwarven_Greed/?snr=1_7_7_240_150_60
862,2019-09-18,Football Drama,63.0,49.0,https://store.steampowered.com/app/876190/Football_Drama/?snr=1_7_7_240_150_60
863,2019-09-18,Crying Suns,86.0,1965.0,https://store.steampowered.com/app/873940/Crying_Suns/?snr=1_7_7_240_150_60
864,2019-09-18,Farstorm: Hoshi Character Expansion,,,https://store.steampowered.com/app/1148640/Farstorm_Hoshi_Character_Expansion/?snr=1_7_7_240_150_60
865,2019-09-18,War Theatre: Blood of Winter - Max Pass,,,https://store.steampowered.com/app/1155380/War_Theatre_Blood_of_Winter__Max_Pass/?snr=1_7_7_240_150_60
866,2019-09-18,War Theatre: Blood of Winter - Beak and Talon,,,https://store.steampowered.com/app/1155381/War_Theatre_Blood_of_Winter__Beak_and_Talon/?snr=1_7_7_240_150_60
867,2019-09-18,Football Drama - Soundtrack,,,https://store.steampowered.com/app/1132350/Football_Drama__Soundtrack/?snr=1_7_7_240_150_60
868,2019-09-18,Jigsaw Puzzle - Expansion Pack 4,,,https://store.steampowered.com/app/1160960/Jigsaw_Puzzle__Expansion_Pack_4/?snr=1_7_7_240_150_60
869,2019-09-18,Mahjong Dimensions 3D - Fantasy Anime,,,https://store.steampowered.com/app/1153220/Mahjong_Dimensions_3D__Fantasy_Anime/?snr=1_7_7_240_150_60
870,2019-09-18,Blackbeard the Cursed Jungle,,,https://store.steampowered.com/app/1151310/Blackbeard_the_Cursed_Jungle/?snr=1_7_7_240_150_60
